edge,n_iso,n_blocks,has_dupl,n_categories,majority_category,singleton,cat_entropy,n_nodes,min_length,max_length,mean_length,n_all_cores,core_left_length,core_right_length,transitive,nonempty_acc_len,nonempty_freq,tot_acc_len
KKPYPKGMXA_f__VCAVVOUNDI_f,222,3,False,2,221,True,0.028830728559561508,5,11724,18064,11752.558558558558,221,6994.0,4730.0,False,6340.0,0.0045045045045045045,6340
KJFGXXNSDH_r__RVYEEDGLQI_f,222,3,False,2,221,True,0.028830728559561508,5,16955,19495,16966.441441441442,221,4495.0,12460.0,False,2540.0,0.0045045045045045045,2540
RYLMYMEVBL_f__WFTVPHITVT_f,222,3,False,2,221,True,0.028830728559561508,5,16594,17371,16597.5,221,4311.0,12283.0,False,777.0,0.0045045045045045045,777
RYTHIAUQXY_f__YELGYGVCLQ_f,222,3,False,2,221,True,0.028830728559561508,5,12715,13787,12719.82882882883,221,2184.0,10531.0,False,1072.0,0.0045045045045045045,1072
RYYAQMEJGY_f__XKJZBXCDPZ_f,222,7,False,6,122,False,1.182480720832963,27,10446,15737,11931.216216216217,18,,3504.0,False,1616.264705882353,0.918918918918919,5514
RZMPAZJQBO_r__TQBHYEMDFE_r,222,3,False,2,221,True,0.028830728559561508,5,18618,19395,18621.5,221,17843.0,775.0,False,777.0,0.0045045045045045045,777
SAMESKIMAJ_r__UZIELDGMRQ_r,222,3,False,2,221,True,0.028830728559561508,5,1535,2311,1538.4954954954956,221,1012.0,523.0,False,776.0,0.0045045045045045045,776
KGWWUZQEKD_r__UXLELLOQVR_r,222,3,True,6,180,False,0.7221985248424216,34,38656,39490,38916.46846846847,0,33513.0,5004.0,False,399.4684684684685,1.0,139
SFNIQHXIST_f__YSKQIEWBCG_f,222,6,False,3,204,False,0.29879852784896493,12,15488,20257,15792.585585585586,0,5411.0,8351.0,False,2030.5855855855855,1.0,8221
JSJIXCXPII_f__QQTMQNQWDS_r,222,5,False,3,220,False,0.057641074676245505,13,7990,8760,7995.9009009009005,0,2325.0,5171.0,False,235.9009009009009,1.0,1000
SFNIQHXIST_r__TJOBMLQRFA_r,222,26,False,11,143,False,1.0457122385231556,148,14814,26994,22799.396396396398,0,5412.0,6350.0,False,11037.396396396396,1.0,37513
SHLDLTAVZA_r__SVIVJSLGHF_r,222,3,False,2,221,True,0.028830728559561508,5,34111,34888,34114.5,221,1539.0,32572.0,False,777.0,0.0045045045045045045,777
SIHIJVBWQQ_r__YHLTNASHXN_r,222,3,False,2,221,True,0.028830728559561508,5,6999,7776,7002.5,221,1013.0,5986.0,False,777.0,0.0045045045045045045,777
SKOEJARTYD_r__WOIFFBRCTD_f,222,3,False,2,221,True,0.028830728559561508,5,24339,25677,24345.027027027027,221,23389.0,950.0,False,1338.0,0.0045045045045045045,1338
KDNDVPYXTO_f__WXGURNWKVZ_f,222,6,False,4,217,False,0.1291027756367657,19,15939,18479,15964.279279279279,217,8390.0,6280.0,False,1122.4,0.02252252252252252,3308
KCBEPSEUCA_f__RPRBRFQSUF_f,222,5,False,3,220,False,0.057641074676245505,12,12156,14178,12522.855855855856,1,9256.0,2575.0,False,368.5158371040724,0.9954954954954955,2022
KBLPANZOCZ_f__SQNSKWKRZK_f,222,4,False,3,220,False,0.057641074676245505,8,7412,45753,7589.531531531532,220,6329.0,1083.0,False,19706.0,0.009009009009009009,39412
KAIPBNCIHR_r__WXCHSHHCDT_f,222,149,True,28,148,False,1.41924756696383,1326,4105,52083,17654.202702702703,148,2324.0,1528.0,False,40647.60810810811,0.3333333333333333,175465
KAIPBNCIHR_f__ZWPXXGKXGL_r,222,5,False,3,220,False,0.057641074676245505,11,3118,4371,3127.1441441441443,220,2323.0,573.0,False,1015.0,0.009009009009009009,2030
JVNRLCFAVD_r__WOIFFBRCTD_r,222,4,False,3,186,False,0.4638212401480231,8,5843,8383,5870.522522522522,186,,960.0,False,169.72222222222223,0.16216216216216217,2642
SOPFFTTIKI_r__XPVMPHROHI_r,222,6,False,3,219,False,0.08018637650771378,13,16647,71849,16950.414414414416,219,3454.0,12947.0,False,22452.666666666668,0.013513513513513514,58306
STVEZQVFDI_r__XWBZCZLFKX_r,222,3,False,2,221,True,0.028830728559561508,5,7068,8270,7073.414414414415,221,4731.0,2337.0,False,1202.0,0.0045045045045045045,1202
STWSZJXKDU_f__TBXDQEZMBI_f,222,4,False,3,200,False,0.34142312735967034,8,3251,31902,5964.725225225226,200,2432.0,819.0,False,27383.954545454544,0.0990990990990991,29427
IOOFKXBSGN_r__WGHTAJLAAQ_r,222,4,False,3,219,False,0.08018637650771378,11,8343,9110,8353.364864864865,219,1908.0,6163.0,False,767.0,0.013513513513513514,767
IOOFKXBSGN_f__JFTSMYGWDT_f,222,10,True,11,102,False,1.3929618089710567,123,3727,5970,5013.4324324324325,0,1907.0,1229.0,False,1877.4324324324325,1.0,2470
INKPVVPGWC_r__WPHCKAWLWJ_r,222,8,False,6,216,False,0.16643219979615537,37,8268,12387,9365.707207207208,0,2051.0,5449.0,False,1865.7072072072071,1.0,5655
HHRCVCXKIA_r__TJDPHITKZG_r,222,3,False,2,219,False,0.07158483369291901,5,15397,16174,15407.5,219,13362.0,2035.0,False,777.0,0.013513513513513514,777
HNSDVUFIXW_r__YJSEGEHASG_r,222,3,False,2,221,True,0.028830728559561508,5,59753,60530,59756.5,221,1496.0,58257.0,False,777.0,0.0045045045045045045,777
HNSDVUFIXW_f__VZUPNYKAKQ_f,222,3,False,2,221,True,0.028830728559561508,5,7951,9383,7957.45045045045,221,1496.0,6455.0,False,1432.0,0.0045045045045045045,1432
HNIWKGNLBM_r__VSATFZMIKW_f,222,3,False,2,221,True,0.028830728559561508,5,11609,12386,11612.5,221,9334.0,2275.0,False,777.0,0.0045045045045045045,777
HMHDANERBU_r__IZBZUHLGQE_r,222,6,True,10,107,False,1.161373061075945,54,12021,12449,12363.90990990991,0,1742.0,10044.0,False,577.9099099099099,1.0,552
HMHDANERBU_f__JYWYLUXXVS_r,222,3,False,2,221,True,0.028830728559561508,5,19242,20018,19245.495495495496,221,1734.0,17508.0,False,776.0,0.0045045045045045045,776
HMGOSWQWLP_r__SHLDLTAVZA_r,222,12,True,9,91,False,1.267408523179275,118,22139,26008,23551.671171171172,0,19510.0,1547.0,False,2002.6711711711712,1.0,4586
HMGOSWQWLP_f__MEHCNXCRXO_f,222,3,False,2,221,True,0.028830728559561508,5,23584,36533,23642.328828828828,221,19488.0,4096.0,False,12949.0,0.0045045045045045045,12949
HLZGFRDRSW_r__SYQZDBITDR_r,222,4,False,2,221,True,0.028830728559561508,6,40105,40261,40105.7027027027,0,38604.0,889.0,False,612.7027027027027,1.0,1380
HLLLVEXLHF_r__NBVDTPUFKL_f,222,12,False,6,166,False,0.7001039642969142,38,21941,56276,23066.135135135137,0,3591.0,9305.0,False,9811.135135135135,1.0,59285
HLDRILYIZH_r__YSKQIEWBCG_r,222,4,False,2,221,True,0.028830728559561508,6,10985,11059,11058.666666666666,0,1868.0,8350.0,False,840.6666666666666,1.0,1608
HLDRILYIZH_f__XNYZXWCUST_f,222,6,False,5,131,False,1.22816675285755,21,4948,5370,5197.2027027027025,18,1852.0,2815.0,False,271.19117647058823,0.918918918918919,537
HKKMVAAVLK_r__KJFGXXNSDH_r,222,3,False,2,221,True,0.028830728559561508,5,6697,30231,6803.009009009009,221,2198.0,4499.0,False,23534.0,0.0045045045045045045,23534
HKKMVAAVLK_f__YXFAUSIPGJ_r,222,3,False,2,173,False,0.5278186410815746,5,4744,4862,4770.045045045045,173,2114.0,2630.0,False,118.0,0.22072072072072071,118
HHRCVCXKIA_f__NDFRQBCFCG_f,222,3,False,2,221,True,0.028830728559561508,5,27129,64365,27296.72972972973,221,13364.0,13765.0,False,37236.0,0.0045045045045045045,37236
INKPVVPGWC_f__RPKQPTEKVL_f,222,3,False,2,221,True,0.028830728559561508,5,14737,15990,14742.644144144144,221,2050.0,12687.0,False,1253.0,0.0045045045045045045,1253
HGLZELNDVS_r__ZEJJQGEZHP_r,222,3,False,2,221,True,0.028830728559561508,5,3802,4578,3805.4954954954956,221,2419.0,1383.0,False,776.0,0.0045045045045045045,776
HGLZELNDVS_f__OCLLBLOTSW_f,222,3,False,2,221,True,0.028830728559561508,5,3538,4315,3541.5,221,2420.0,1118.0,False,777.0,0.0045045045045045045,777
HGEIMZYRCU_r__SDWAYYASVR_r,222,3,False,2,221,True,0.028830728559561508,5,21934,23595,21941.481981981982,221,18225.0,3709.0,False,1661.0,0.0045045045045045045,1661
HGEIMZYRCU_f__LMHHHLNVVA_f,222,3,False,2,221,True,0.028830728559561508,5,18879,19656,18882.5,221,18229.0,650.0,False,777.0,0.0045045045045045045,777
TONPLIFLWF_r__YRROIHFKBD_r,222,3,False,2,221,True,0.028830728559561508,5,46843,49383,46854.44144144144,221,6588.0,40255.0,False,2540.0,0.0045045045045045045,2540
TYNDBFDKGO_r__YELGYGVCLQ_r,222,3,False,2,221,True,0.028830728559561508,5,14520,15296,14523.495495495496,221,3979.0,10541.0,False,776.0,0.0045045045045045045,776
UEFTCBAPAE_r__WHVMROPOZM_r,222,3,False,2,221,True,0.028830728559561508,5,41987,83846,42175.55405405405,221,31628.0,10359.0,False,41859.0,0.0045045045045045045,41859
HEDBBNUKLU_r__VSCDQDGRHO_r,222,37,False,34,122,False,1.6464862918420196,935,8112,38249,22644.81081081081,0,2043.0,1073.0,False,17504.81081081081,1.0,47284
HEBBNFDQZB_r__IOAGCZFIPS_f,222,8,True,11,171,False,0.9559868523952235,57,17259,17776,17657.662162162163,0,8858.0,8187.0,False,612.6621621621622,1.0,849
HEBBNFDQZB_f__QQTMQNQWDS_f,222,3,False,2,221,True,0.028830728559561508,5,14029,17073,14042.711711711712,221,8859.0,5170.0,False,3044.0,0.0045045045045045045,3044
HCFXQUVBMJ_f__YXFAUSIPGJ_f,222,3,False,2,221,True,0.028830728559561508,5,4817,5889,4821.828828828829,221,2274.0,2543.0,False,1072.0,0.0045045045045045045,1072
HAEXIMTKOL_r__PHPNFXNTAW_r,222,3,False,2,221,True,0.028830728559561508,5,4229,5006,4232.5,221,1808.0,2421.0,False,777.0,0.0045045045045045045,777
HAEXIMTKOL_f__WOHPWXHUSI_f,222,1,False,1,222,False,0.0,1,12071,12071,12071.0,222,12071.0,12071.0,True,,0.0,0
HOIZZDAEJL_f__VGYXZAWOLD_f,222,1,False,1,222,False,0.0,1,29536,29536,29536.0,222,29536.0,29536.0,True,,0.0,0
TLVFRBMGBC_r__YUMHUOWTXQ_f,222,48,False,6,217,False,0.1439488876457942,136,9793,47971,10630.193693693695,217,1680.0,8113.0,False,37171.4,0.02252252252252252,67667
TKVTTLAACL_f__ZIFDFWWRCE_r,222,3,False,2,221,True,0.028830728559561508,5,6544,7320,6547.495495495496,221,6027.0,517.0,False,776.0,0.0045045045045045045,776
HUIGUZLHBJ_r__YRROIHFKBD_f,222,3,False,2,221,True,0.028830728559561508,5,41243,41851,41848.261261261265,1,987.0,40256.0,False,608.0,0.9954954954954955,608
IMAMHFLCWS_f__RKAOKULCFF_f,222,12,True,10,166,False,0.8028452091342896,101,20846,30584,27031.945945945947,0,9961.0,8668.0,False,8402.945945945947,1.0,11955
ILYDRBOPRK_r__JRRJHZVADX_r,222,11,True,23,130,False,1.5705256383665647,184,6544,11018,7040.815315315315,0,1417.0,4547.0,False,1076.8153153153153,1.0,5579
ILYDRBOPRK_f__ULVIPOHWTC_f,222,4,False,3,212,False,0.19830210517636676,8,3473,4301,3481.2297297297296,212,,2056.0,False,182.7,0.04504504504504504,939
IIFSSHHHUK_r__TFKJQKVUKX_r,222,3,False,2,221,True,0.028830728559561508,5,10937,12246,10942.896396396396,221,5822.0,5115.0,False,1309.0,0.0045045045045045045,1309
IIFSSHHHUK_f__RJJWLWHZAS_f,222,12,True,8,215,False,0.20138379607296641,75,10861,63688,12084.490990990991,0,5870.0,3694.0,False,2311.490990990991,1.0,57339
SXLMEITLHA_f__ZKKSOYXZSQ_f,222,5,False,3,218,False,0.10035413613342482,11,8201,72511,9329.063063063064,218,1762.0,6439.0,False,62607.5,0.018018018018018018,64310
SXOFMAMNHV_r__YKRBMZRPTW_r,222,4,False,3,193,False,0.4071776848292676,8,6457,7231,6483.5675675675675,193,5995.0,,False,203.3793103448276,0.13063063063063063,957
IHKFSQQUKE_f__OSWZJWLTWJ_f,222,8,True,5,218,False,0.11520024814245333,37,20541,58698,20790.711711711712,0,710.0,4106.0,False,15974.711711711712,1.0,54659
IHERCMJOSU_f__JJRRWBDVGH_f,222,3,False,2,199,False,0.3329295121130703,5,26445,27891,26594.81081081081,199,13417.0,13028.0,False,1446.0,0.1036036036036036,1446
SYQZDBITDR_r__WDPQHEJPPO_r,222,5,False,3,219,False,0.08018637650771378,11,10255,31680,10521.644144144144,219,888.0,9367.0,False,19731.666666666668,0.013513513513513514,21425
TBXDQEZMBI_f__TKVTTLAACL_f,222,3,False,2,221,True,0.028830728559561508,5,6856,7633,6859.5,221,829.0,6027.0,False,777.0,0.0045045045045045045,777
TJDPHITKZG_r__UMJDNWQKXC_r,222,3,False,2,221,True,0.028830728559561508,5,5988,6816,5991.72972972973,221,2025.0,3963.0,False,828.0,0.0045045045045045045,828
IFRPFFEGON_f__LSBXOCNNHO_f,222,3,False,2,221,True,0.028830728559561508,5,4258,6798,4269.441441441441,221,3271.0,987.0,False,2540.0,0.0045045045045045045,2540
IECMBOPPYU_f__RXNPYLXNHX_f,222,3,False,2,221,True,0.028830728559561508,5,1936,2713,1939.5,221,1292.0,644.0,False,777.0,0.0045045045045045045,777
IDVMNNRNJQ_r__UUBXUCAQCF_r,222,3,False,2,221,True,0.028830728559561508,5,11893,12670,11896.5,221,3948.0,7945.0,False,777.0,0.0045045045045045045,777
IDVMNNRNJQ_f__PIDFVIHRFN_r,222,4,False,3,220,False,0.057641074676245505,9,8984,10994,9659.0,1,3948.0,5036.0,False,678.0542986425339,0.9954954954954955,2010
IDAZXSKCHH_f__TWATEWRZLR_f,222,3,False,2,221,True,0.028830728559561508,5,5736,6512,5739.495495495496,221,918.0,4818.0,False,776.0,0.0045045045045045045,776
IAOFBOJKOX_f__NSJRIJGVOG_r,222,7,False,5,217,False,0.13770431845156045,28,16355,17693,16370.972972972973,0,5514.0,9949.0,False,435.97297297297297,1.0,2520
IANJWCNSRC_r__VZUPNYKAKQ_r,222,3,False,2,221,True,0.028830728559561508,5,8583,9892,8588.896396396396,221,843.0,7740.0,False,1309.0,0.0045045045045045045,1309
IANJWCNSRC_f__YXSCHJRBEK_f,222,1,False,1,222,False,0.0,1,9220,9220,9220.0,222,9220.0,9220.0,True,,0.0,0
IAMXLIYGOQ_r__WXGURNWKVZ_r,222,6,False,3,169,False,0.5719676693126685,13,13883,15136,13986.085585585586,0,6575.0,6289.0,False,730.0855855855856,1.0,2923
IAAEMJLVAI_f__SXLMEITLHA_f,222,3,False,2,221,True,0.028830728559561508,5,3709,6774,3722.8063063063064,221,1953.0,1756.0,False,3065.0,0.0045045045045045045,3065
HXXODERGHH_r__NHKCAMVGSA_r,222,3,False,2,221,True,0.028830728559561508,5,25397,27203,25405.135135135137,221,6674.0,18723.0,False,1806.0,0.0045045045045045045,1806
HUTOPWFGVH_r__XTIATMKKQL_r,222,3,False,2,221,True,0.028830728559561508,5,17996,18773,17999.5,221,16279.0,1717.0,False,777.0,0.0045045045045045045,777
TJJBZTAYLC_f__YVEVUPDYEE_f,222,3,False,2,221,True,0.028830728559561508,5,21229,22005,21232.495495495496,221,12386.0,8843.0,False,776.0,0.0045045045045045045,776
HUOLOAHNMF_r__IECMBOPPYU_f,222,3,False,2,221,True,0.028830728559561508,5,2262,3039,2265.5,221,980.0,1282.0,False,777.0,0.0045045045045045045,777
HUOLOAHNMF_f__NFUBAVIKFJ_r,222,3,False,2,221,True,0.028830728559561508,5,1770,2546,1773.4954954954956,221,987.0,783.0,False,776.0,0.0045045045045045045,776
